decision,priority_bucket,category,score,titre,acheteur,date_publication,date_limite,nature,type_marche,descripteurs,cpv_codes,departement,url,buyer_profile_uri,raw_text,why,idweb
KEEP_HIGH,CORE,COMPETITIONS,59,"Concours restreint d'Architecture et d'Ingénierie sur esquisse Restructuration et extension du collège "" Goh Lanno "" à PLUVIGNER (56)",SPL Equipements du Morbihan,2026-03-15,2026-04-14,APPEL_OFFRE,SERVICES,Maîtrise d'oeuvre,71200000 | 71221000 | 71300000,56,https://www.boamp.fr/pages/avis/?q=idweb:26-26581,https://demat.centraledesmarches.com/7084173,"Concours restreint d'Architecture et d'Ingénierie sur esquisse Restructuration et extension du collège "" Goh Lanno "" à PLUVIGNER (56) | SPL EQUIPEMENTS DU MORBIHAN | Pouvoir adjudicateur- Département du Morbihan, représenté par son Président | Greffe du Tribunal administratif de RENNES | epo-procurement-document | restricted | Concours de Maîtrise d'oeuvre pour les études et travaux de restructuration et d'extension du collège ''Goh Lanno'' à PLUVIGNER (56) | Concours de Maîtrise d'oeuvre pour les études et travaux de restructuration et d'extension du collège ''Goh Lanno'' à PLUVIGNER (56) en application des articles R.2162-15 à R.2162-21 du Code de la Commande Publique.
Marché de maîtrise d'oeuvre constitué d'une mission de base, complétée des études d'exécution lots fluides et structure, du quantitatif pour l'ensemble des lots, de la réalisation d'une simulation thermique dynamique à mettre à jour à chaque phase, et de la mission SSI, telle que définie dans les articles R.2431-1 à R.2431-37 du Code de la Commande Publique. | Lieu d'exécution :
1 rue du Docteur Pascal - 56330 Pluvigner

Caractéristiques principales de l'ouvrage : 
Extension du collège ""Goh Lanno"" par une construction représentant une surface utile d'environ 2 000 m² (bãtiment passif), et la restructuration, d'environ 750 mètres carrés existant de bãtiment et 2400 m² de cour.

Le montant de l'enveloppe prévisionnelle affecté aux travaux (désamiantage dans le bãtiment restructuré + bãtiment neuf + VRD + aménagements extérieurs) est fixé par le maître d'ouvrage á 4 250 000  HT, valeur mars 2026.

Délai d'exécution :
Date prévisionnelle de début des études : décembre 2026
Date prévisionnelle de début des travaux : 1er trimestre 2028. 
La durée globale prévisionnelle des travaux est estimée á 30 mois (préparation, congés et intempéries). 

Conditions relatives au marché
Cautionnement et garanties exigées :
Pas de cautionnement, ni de retenue de garantie exigée.

Modalités essentielles de financement et de paiement :
Financement : fonds propres + emprunts. Délai de paiement fixé á 30 jours á compter de la réception de la demande d'acompte via la plateforme Chorus Pro.

Forme juridique que devra revêtir le groupement de prestataires de services :
Dans le cas où il ne revêtirait pas cette forme, lors du dépôt de sa candidature, le pouvoir adjudicateur se réserve le droit de contraindre le groupement attributaire á revêtir la forme d'un groupement conjoint avec mandataire solidaire et si le groupement comprend plusieurs architectes, le pouvoir adjudicateur se réserve le droit de les contraindre á la solidarité, et ce pour s'assurer de la bonne exécution du marché. | not-allowed | no-eu-funds | jury composé des membres prévus par l'article R2162-22 et R 2162-24 du Code de la Commande Publique | Concours restreint d'architecture et d'ingénierie sur esquisse | Marché de maîtrise d'oeuvre pour les études et travaux de restructuration et d'extension du collège ''Goh Lanno'' á PLUVIGNER (56) | Conditions de participation
Compétences requises : 
Les groupements admis á présenter une candidature devront comprendre :
.	Un architecte inscrit á l'Ordre (mandataire du groupement obligatoirement),
.	Un ou plusieurs bureaux d'études techniques, intégré(s) ou non, compétents dans les domaines suivants : 
o	Structure
o	Fluides (électricité/courants faibles/plomberie)
o	BE thermique
o	VRD
o	Paysagiste
o	Acoustique
o	Economie de la construction

L'équipe devra intégrer l'ensemble des compétences et qualifications nécessaires á la réussite du projet.
Le maître d'ouvrage attire l'attention des candidats sur la nécessité de prendre en compte le risque radon dans la conception du projet. Les équipes de maîtrise d'oeuvre devront intégrer les dispositions constructives et techniques appropriées afin de prévenir toute infiltration et accumulation de radon dans les locaux, dans le respect de la réglementation et des recommandations en vigueur.

Rappel : conformément aux dispositions de l'article R2142-21 du Code de la Commande Publique, un même candidat ne pourra être mandataire de plusieurs groupements.
Le maître d'ouvrage accepte qu'un même candidat soit présent dans plusieurs groupements.

Documents á remettre á l'appui de la candidature : 
Se référer au règlement de concours
Tout document manquant entraînera l'élimination de la candidature.
Tous formats différents á ceux demandés entraîneront l'élimination de la candidature.

Nombre limite de candidats pouvant être admis á concourir :
3 équipes maximum seront retenues á l'issue de l'appel á candidatures pour participer au concours et réaliser une esquisse.

Critères : 
Critères pour la sélection des candidats admis á concourir : 

Qualité des références présentées pour des opérations de complexité, d'envergure et de problématique équivalente : 
o	construction et/ou réhabilitation d'établissements d'enseignement réalisés ou en phase travaux (collèges, lycées, écoles, ou équivalents), opérations en site occupé, projets présentant une complexité technique, fonctionnelle ou environnementale comparable á celle de l'opération objet du concours

Qualification de la composition, de la complémentarité et de la cohérence de l'équipe proposée, au regard :
o	appréciée au regard de l'organigramme présenté, de la répartition des rôles et responsabilités entre les intervenants, des modalités de coordination entre les membres de l'équipe

Appréciation des capacités techniques de l'équipe á répondre aux exigences de l'opération, notamment en matière de :
o	contraintes techniques et réglementaires propres á l'opération, notamment, sécurité incendie, accessibilité des personnes á mobilité réduite, sûreté des établissements scolaires, confort thermique, acoustique et visuel. L'expérience de l'équipe en matière de réhabilitation lourde, d'amélioration de la performance énergétique.

Critères de jugement des prestations du concours par ordre décroissant d'importance : 
.	Respect du programme (nombre, surface) et conformité aux besoins fonctionnels exprimés (organisation des locaux)
.	L'estimation prévisionnelle et sa compatibilité avec le budget annoncé par le maître d'ouvrage
.	Qualité de l'approche technique et environnementale (niveau passif, confort d'été, chantier propre, Management responsable, Qualité de la conception sur les lots archi, Qualité de la conception sur les lots techniques, Facilité d'exploitation du bãtiment...)
.	Qualité du parti architectural et de son insertion dans le site

Procédure de passation du marché : 
Concours restreint, anonyme, de maîtrise d'oeuvre sur esquisse, organisé après une sélection de candidats dans les conditions définies aux articles R2162-15 á R2162-26 du Code de la Commande Publique. Le marché sera attribué au lauréat ou á l'un des lauréats du concours en application de l'article. R2122-6 du Code de la Commande Publique.

Dématérialisation :
Le Dossier de Consultation des Concepteurs est téléchargeable via le site : https://demat.centraledesmarches.com (Hotline technique au 0892 23 46 71).
Calendrier prévisionnel : 
Transmission des Dossiers de Consultation des Concepteurs : mai 2026.
Les candidats admis á concourir devront remettre leurs prestations : fin Juillet 2026.

Modalités d'indemnisations des candidats retenus : 
Chaque candidat ayant remis des prestations satisfaisantes sera indemnisé sur la base d'un montant forfaitaire maximal de 21 500,00  HT après avis favorable du jury composé des membres prévus par l'article R2162-22 et R 2162-24 du Code de la Commande Publique.
Le jury se réserve le droit, dans le cas de projet qu'il jugerait incomplet ou ne répondant pas exactement au programme, de supprimer partiellement ou totalement l'indemnité.
La rémunération du contrat de maîtrise d'oeuvre tiendra compte de l'indemnité reçue par le lauréat.",nature APPEL_OFFRE | type SERVICES | CPV archi 71200000 | CPV archi 71221000 | CPV secondaire 71300000 | + fort: maitrise d oeuvre | + fort: architecte | + fort: architecture | + fort: concours de maitrise d oeuvre | + moyen: rehabilitation,26-26581
KEEP_HIGH,CORE,ARCHITECTURE_BUILDING,56,ACCORD CADRE DE MAITRISE D'OEUVRE,SPL LE SEAQUARIUM,2026-03-12,2026-04-14,APPEL_OFFRE,SERVICES,Prestations de services | Ingénierie,71000000 | 71200000 | 71221000 | 71240000 | 71310000,30 | 34 | 13 | 84,https://www.boamp.fr/pages/avis/?q=idweb:26-24828,https://spl-seaquarium.e-marchespublics.com,"ACCORD CADRE DE MAITRISE D'OEUVRE | SPL LE SEAQUARIUM | TRIBUNAL ADMINISTRATIF DE NIMES | cn-standard | pub-undert | epo-procurement-document | neg-w-call | ACCORD CADRE DE MAITRISE D'OEUVRE POUR LES OPÉRATIONS DE CONSTRUCTION, REHABILITATION ET AMENAGEMENT DU PATRIMOINE DE LA SPL LE SEAQUARIUM | MISSIONS DE MAITRISE D'OEUVRE POUR LES OPERATIONS DE CONSTRUCTION, REHABILITATION ET AMENAGEMENT DU PATRIMOINE DE LA SPL LE SEAQUARIUM | not-allowed | performance | L'accord-cadre a pour objectif de fournir à la SPL LE SEAQUARIUM une expertise pluridisciplinaire permettant de répondre à l'ensemble de ses besoins de maitrise d'oeuvre, qu'il s'agisse de projets programmés, d'urgences techniques ou de choix stratégiques intervenant en cours d'exécution du contrat.",nature APPEL_OFFRE | type SERVICES | CPV fort 71000000 | CPV archi 71200000 | CPV archi 71221000 | CPV archi 71240000 | CPV secondaire 71310000 | + fort: maitrise d oeuvre | + moyen: rehabilitation | + moyen: amenagement,26-24828
KEEP_HIGH,CORE,COMPETITIONS,49,Concours restreint de maîtrise d’œuvre sur Esquisse+ pour la requalification du complexe sportif de Chiconi,Département-Région de Mayotte,2026-03-10,2026-04-14,APPEL_OFFRE,SERVICES,Etude | Maîtrise d'oeuvre | Equipement sportif | Génie civil,71000000 | 71240000 | 71245000 | 71250000,976,https://www.boamp.fr/pages/avis/?q=idweb:26-23835,https://www.marches-securises.fr,"Concours restreint de maîtrise d’œuvre sur Esquisse+ pour la requalification du complexe sportif de Chiconi | Département-Région de Mayotte | Tribunal Administratif de Mayotte | epo-procurement-document | restricted | Concours restreint de maîtrise d’œuvre sur Esquisse+ pour la requalification du complexe sportif de Chiconi | Concours restreint de maîtrise d'oeuvre sur Esquisse+ pour la requalification du complexe sportif de Chiconi | not-allowed | Le présent concours de maîtrise d’œuvre est organisé par l’assemblée de Mayotte, Maître d’Ouvrage, conformément aux dispositions des articles L. 2125-1 2° et R. 2162-15 à R. 2162-26 du Code de la commande publique.",nature APPEL_OFFRE | type SERVICES | CPV fort 71000000 | CPV archi 71240000 | CPV archi 71245000 | CPV archi 71250000 | + fort: maitrise d oeuvre | + moyen: etude,26-23835
KEEP_HIGH,CORE,ARCHITECTURE_BUILDING,46,Mission de maîtrise d’œuvre pour la réhabilitation du centre nautique Pierre Toinot à Sens,Commnauté d&#039;Agglomération du Grand Sénonais,2026-03-12,2026-04-13,APPEL_OFFRE,SERVICES,Ingénierie | Maîtrise d'oeuvre | Piscine,71000000 | 71200000 | 71221000 | 71300000,89,https://www.boamp.fr/pages/avis/?q=idweb:26-25224,,"Mission de maîtrise d’œuvre pour la réhabilitation du centre nautique Pierre Toinot à Sens | Commnauté d'Agglomération du Grand Sénonais | Tribunal Administratif de Dijon | cn-standard | epo-procurement-document | Mission de maîtrise d’œuvre pour la réhabilitation du centre nautique Pierre Toinot à Sens | Cette opération vise à concevoir et assurer le suivi des travaux de réhabilitation technique du centre nautique Pierre TOINOT, qui comprendra également l'amélioration fonctionnelle de certains espaces.  La réhabilitation concernera les espaces couverts, les espaces extérieurs et les installations techniques de l'équipement. | not-allowed | no-eu-funds | performance | voir documents de la consultation | Les candidats devront obligatoirement effectuer une visite du site (78 ter rue René Binet 89100 SENS), préalablement à la remise de leur offre, selon les modalités suivantes, sous peine de rejet de leur offre. Cette visite devra être réalisée sur l'une des dates de visite suivantes : -Mercredi 18 mars à 14h30 (contact: Monsieur Vincent ROCHE - Tel : 06 63 78 18 70) -Vendredi 20 mars à 14h30 (contact: Monsieur Vincent ROCHE - Tel : 06 63 78 18 70) -Lundi 23 mars à 14h30 (contact: Monsieur Vincent ROCHE - Tel : 06 63 78 18 70 )  La visite devra faire l'objet d'une confirmation de rendez-vous, au plus tard 24h avant la date de visite, par mail à l'adresse suivante : v.roche@grand-senonais.fr Cette visite est obligatoire, son absence rend l’offre irrégulière. A cet effet, une attestation de visite sera remise aux candidats. Celle-ci devra être jointe à l’offre. Afin que l’ensemble des candidats puissent bénéficier du même degré d’information, les questions éventuelles suscitées lors de la visite du site doivent être posées par écrit sur la plateforme, dans le respect de l’article 10 du présent document. Une réponse écrite sera alors adressée en temps utile à l’ensemble des candidats. Lors du dépôt de leur offre, les candidats sont réputés avoir pleine connaissance du lieu d’exécution. Après notification du contrat, le titulaire ne pourra se prévaloir de quelconques méconnaissances rendant son exécution techniquement ou financièrement difficile.",nature APPEL_OFFRE | type SERVICES | CPV fort 71000000 | CPV archi 71200000 | CPV archi 71221000 | CPV secondaire 71300000 | + fort: maitrise d oeuvre | + moyen: rehabilitation | + moyen: ingenierie,26-25224
KEEP_HIGH,CORE,ARCHITECTURE_BUILDING,45,Marché de maîtrise d'oeuvre pour la ZAC des Lauves sur la commune de Saint-Paul-lès-Durance,SPLA - Pays d'Aix Territoires,2026-03-15,2026-04-16,APPEL_OFFRE,SERVICES,Maîtrise d'oeuvre,71000000,13,https://www.boamp.fr/pages/avis/?q=idweb:26-26261,https://www.achatpublic.com/sdm/ent2/gen/index.jsp,"Marché de maîtrise d'oeuvre pour la ZAC des Lauves sur la commune de Saint-Paul-lès-Durance | SPLA - Pays d'Aix Territoires | TRIBUNAL ADMINISTRATIF DE MARSEILLE | cn-standard | epo-procurement-document | Marché de maîtrise d'oeuvre pour la ZAC des Lauves sur la commune de Saint-Paul-lès-Durance | Le présent accord-cadre a pour objet une mission de maîtrise d'uvre pour l'opération d'aménagement de la ZAC des Lauves sur la commune de Saint- Paul-lès -Durance.
La SPLA Pays d’Aix Territoires souhaite désigner une équipe pluridisciplinaire chargée d’assurer une partie ou la totalité des missions suivantes :
Une catégorie A : Missions d’architecte-urbaniste et paysagères :
	A-1 : Finalisation du schéma d’aménagement ;
   A-2 : Elaboration du dossier de réalisation de ZAC ;
   A-3 : Elaboration du CPAUPE ;
   A-4 : Elaboration de fiches de lot ;
   A-5 : Avis sur permis de construire et suivi architectural.
Une catégorie B : Missions de maîtrise d’œuvre :
    B-1 : AVP : Avant-projet ;
    B-2 : PRO : Projet ;
	B-3 : ACT : assistance à la passation des contrats de travaux ;
	B-4 : VISA : visa des études d’exécution ;
	B-5 : DET : Direction de l’exécution des travaux ;
	B-6 : AOR/GPA : Assistance aux opérations de réception et garantie de parfait achèvement.



Il s'agit d'un accord-cadre de services.
 
Il s'agit d'un accord-cadre au sens des articles R. 2162-2 et suivants du Code de la commande publique conclu avec un opérateur économique.
	
L'accord-cadre sera exécuté en partie par la conclusion de marchés subséquents et en partie par l'émission de bons de commande.
 
Les modalités d'attribution des marchés subséquents  et d'émission des bons de commande figurent au CCAP/cahier des charges. | Zac Les Lauves
Entrée Est du village de Saint-Paul-Lez-Durance, au sud du canal EDF et en bordure de la RD 952 | not-allowed | no-eu-funds | performance | Prix des prestations  apprécié au regard du Détail estimatif | Valeur technique de l'offre avec 5 sous critères :
1 Compréhension du site et des enjeux.
2 Méthodologie d’exécution des missions avec les différentes parties prenantes identifiées
3 Méthodologie de suivi environnemental du projet
4 Moyens humains et organisation dédiée pour chacune des missions
5 Références - Fournir maximum cinq références de projets urbains réalisés dans un contexte et avec des enjeux similaires | buyer-categories | Le mandataire du groupement sera obligatoirement l’architecte-urbaniste. | -	La participation d'un architecte-urbaniste dans chaque équipe candidate est obligatoire. Le candidat devra justifier d'un diplôme d'architecture DPLG ou équivalent 
-	La participation d'un paysagiste dans chaque équipe candidate est obligatoire. Le candidat devra justifier d'un diplôme de paysagiste ou équivalent. 
-	 Pour le bureau d’études VRD : Ingénierie en infrastructure et en voirie et réseaux divers :
Qualification OPQIBI 1811 - Ingénierie de voirie et réseaux divers courants                           (ou équivalent) ; | Le présent accord-cadre est reconductible.

Il sera renouvelable 3 fois un an par tacite reconduction sans que sa durée totale ne puisse excéder 4 ans.",nature APPEL_OFFRE | type SERVICES | CPV fort 71000000 | + fort: maitrise d oeuvre | + fort: architecte | + fort: architecture | + moyen: amenagement | + moyen: etude | + moyen: ingenierie | + moyen: paysage,26-26261
KEEP_HIGH,CORE,ARCHITECTURE_BUILDING,43,Mission de Maitre d'oeuvre travaux à CLERMONT FERRAND,IRC AG2R AGIRC ARRCO,2026-03-07,2026-04-07,APPEL_OFFRE,SERVICES,Maîtrise d'oeuvre,71000000 | 71200000,63,https://www.boamp.fr/pages/avis/?q=idweb:26-22991,https://www.achatpublic.com/sdm/ent2/gen/index.jsp,Mission de Maitre d'oeuvre travaux à CLERMONT FERRAND | IRC AG2R AGIRC ARRCO | TRIBUNAL ADMINISTRATIF DE PARIS | cn-standard | spec-rights-entity | epo-procurement-document | Mission de Maitre d'oeuvre travaux à CLERMONT FERRAND | no-eu-funds | performance | not-allowed | Mission de Maitrise d’oeuvre pour les travaux de réhabilitation du Centre de Gestion de CLERMONT-FERRAND,nature APPEL_OFFRE | type SERVICES | CPV fort 71000000 | CPV archi 71200000 | + fort: maitrise d oeuvre | + fort: maitre d oeuvre | + fort: mission de maitrise d oeuvre | + moyen: rehabilitation,26-22991
KEEP_HIGH,CORE,COMPETITIONS,41,CONCOURS - MISSION DE MAITRISE D'OEUVRE POUR LA RECONSTRUCTION DE L'EHPAD GASTON MONMOUSSEAU,EHPAD GASTON MONMOUSSEAU,2026-03-08,2026-04-06,APPEL_OFFRE,SERVICES,Ingénierie,71000000 | 71200000 | 71300000,93,https://www.boamp.fr/pages/avis/?q=idweb:26-23606,,CONCOURS - MISSION DE MAITRISE D'OEUVRE POUR LA RECONSTRUCTION DE L'EHPAD GASTON MONMOUSSEAU | EHPAD GASTON MONMOUSSEAU | c/o EHPAD Emile Gérard-30 Allée de Joinville | Tribunal administratif de Montreuil | cn-standard | pub-undert | epo-procurement-document | restricted | CONCOURS - MISSION DE MAITRISE D'OEUVRE POUR LA RECONSTRUCTION DE L'EHPAD GASTON MONMOUSSEAU | Mission de maîtrise d’œuvre pour la reconstruction de l’EHPAD GASTON MONMOUSSEAU | not-allowed | no-eu-funds | performance | voir documents de la consultation,nature APPEL_OFFRE | type SERVICES | CPV fort 71000000 | CPV archi 71200000 | CPV secondaire 71300000 | + fort: maitrise d oeuvre | + fort: mission de maitrise d oeuvre | + moyen: ingenierie,26-23606
KEEP_HIGH,CORE,ARCHITECTURE_BUILDING,40,Marché de maitrise d'oeuvre pour la création d'une usine de traitement des forages de Port aux oies à Cannes Ecluse.,Communauté de Communes du Pays de Montereau,2026-03-05,2026-04-03,APPEL_OFFRE,SERVICES,Maîtrise d'oeuvre | Alimentation en eau potable,71000000,77,https://www.boamp.fr/pages/avis/?q=idweb:26-22063,,"Marché de maitrise d'oeuvre pour la création d'une usine de traitement des forages de Port aux oies à Cannes Ecluse. | Communauté de Communes du Pays de Montereau | Podorojniy | TRIBUNAL ADMINISTRATIF DE MELUN | cn-standard | le candidat individuel, ou chaque membre du groupement, ne doit pas entrer dans l'un des cas d'exclusion de la procédure de passation prévus par le code de la commande publique. | epo-notice | Procédure d'appel d'offres ouvert | Marché de maitrise d'oeuvre pour la création d'une usine de traitement des forages de Port aux oies à Cannes Ecluse. | La mission de maîtrise d'oeuvre relève de la catégorie : « infrastructures »  et  comprend les missions suivantes :
- Les Etudes préalables ; les études d'avant-projet ; Les études projet ; Assistance à la passation des contrats de travaux ; Visa ; Direction de l'exécution des contrats de travaux ; Assistance aux opérations de réception ; Missions complémentaires : Assistance à maitrise d'ouvrage pour le dépôt des autorisations d'urbanisme et le lancement des consultations de prestataires diverses dont les avis ou études s'avèreraient nécessaires (SPS, contrôleur technique,). Celles-ci sont rémunérées sur la base d'un prix unitaire. | not-allowed | no-eu-funds | epo-procurement-document | performance | Le prix n'est pas le seul critère d'attribution et tous les critères sont énoncés uniquement dans les documents du marché | La présente consultation concerne une mission de maitrise d’œuvre pour les travaux de construction d’une usine de traitement sur les forages de Port aux Oies à Cannes Ecluse.
se référer au programme pour la description de la mission",nature APPEL_OFFRE | type SERVICES | CPV fort 71000000 | + fort: maitrise d oeuvre | + fort: mission de maitrise d oeuvre | + fort: assistance a maitrise d ouvrage | + fort: urbanisme | + moyen: etude,26-22063
KEEP_HIGH,CORE,ARCHITECTURE_BUILDING,38,"Accord-cadre de maitrise d'oeuvre urbaine, technique et paysagère de la ZAC Gare Guyancourt - Saint-Quentin",Etablissement public d'aménagement Paris Saclay,2026-03-14,2026-04-17,APPEL_OFFRE,SERVICES,Maîtrise d'oeuvre,71241000 | 71310000 | 71400000,91,https://www.boamp.fr/pages/avis/?q=idweb:26-26049,,"Accord-cadre de maitrise d'oeuvre urbaine, technique et paysagère de la ZAC Gare Guyancourt - Saint-Quentin | Avenue-Web Systèmes | DE4FBBEE-0741-A4EB-035959C8CD5D93D9 | Etablissement public d'aménagement Paris Saclay | GUESPEREAU Martin | Tribunal administratif de Versailles | DE4FBC29-065E-A831-5C3C7C9220DB1C11 | DE4FBC3A-E2EE-D2FB-C635D0D183D64F96 | cn-standard | epo-procurement-document | neg-w-call | Accord-cadre de maitrise d'oeuvre urbaine, technique et paysagère de la ZAC Gare Guyancourt - Saint-Quentin | Le titulaire du présent accord-cadre sera l'équipe de maîtrise d'oeuvre du projet urbain, il aura la charge d'assurer les missions suivantes :
- Catégorie A - Missions d'urbaniste-coordonnateur de la ZAC
- Catégorie B - Missions de suivi et de coordination des projets immobiliers et d'infrastructures
- Catégorie C - Missions de maîtrise d'oeuvre d'espaces publics
Le Cahier des Clauses Techniques Particulières présente le détail des missions qui seront confiées au titulaire | not-allowed | no-eu-funds | - Référé précontractuel dans les conditions prévues par les articles L.
551-1 à L. 551-4, L. 551-10 à L 551-12, R. 551-1 et R. 551-3 à R. 551-6 du
code de justice administrative.
- Référé contractuel dans les conditions prévues par les articles L. 551-13
à L. 551-23 et R. 551-7 à R. 551-10 du code de justice administrative.
- Recours en contestation de validité du contrat dans un délai de deux
mois à compter de l'accomplissement des mesures de publicité
appropriées | Au regard de l'échéance de la livraison de la ligne 18 du métro ainsi que de la temporalité propre à la réalisation d'une Zac de grande ampleur et de la nécessité d'assurer la continuité et la cohérence du projet urbain, il apparaît indispensable que l'accord-cadre de maîtrise d'oeuvre excède 4 ans. Cela constitue la garantie d'une action publique efficace, cohérente et économe | L'accord-cadre est conclu pour une durée de quatre (4) ans à compter de sa date de notification, reconductible tacitement deux (2) fois deux (2) ans, sans pouvoir excéder huit (8) ans.
A défaut de décision de non-reconduction notifiée au titulaire par le pouvoir adjudicateur plus tard 3 mois avant l'échéance, l'accord-cadre est automatiquement reconduit.
Le titulaire ne peut s'y opposer",nature APPEL_OFFRE | type SERVICES | CPV archi 71241000 | CPV secondaire 71310000 | CPV archi 71400000 | + fort: maitrise d oeuvre | + moyen: amenagement | + moyen: paysage | + moyen: zac,26-26049
KEEP_HIGH,CORE,ARCHITECTURE_BUILDING,38,AMO pour la réhabilitation d ouvrages maritimes et portuaires sur l ensemble des ports de plaisance de la Métropole Aix-Marseille-Provence,Metropole Aix-Marseille Provence,2026-03-13,2026-04-16,APPEL_OFFRE,SERVICES,Assistance à maîtrise d'ouvrage | Etude | Installation portuaire,71241000 | 71248000 | 71300000,13,https://www.boamp.fr/pages/avis/?q=idweb:26-25535,https://marchespublics.ampmetropole.fr/,"AMO pour la réhabilitation d ouvrages maritimes et portuaires sur l ensemble des ports de plaisance de la Métropole Aix-Marseille-Provence | Metropole Aix-Marseille Provence | Direction de la Commande Publique - Service Marches | commandepublique-entreprises@ampmetropole.fr | Tribunal administratif de Marseille | cn-standard | epo-procurement-document | AMO pour la réhabilitation d ouvrages maritimes et portuaires sur l ensemble des ports de plaisance de la Métropole Aix-Marseille-Provence | AMO pour la réhabilitation d?ouvrages maritimes et portuaires sur l?ensemble des ports de plaisance de la Métropole Aix-Marseille-Provence | Lieu d'exécution des prestations : le périmètre d’intervention correspond à tous les ports de plaisance de la Métropole Aix-Marseille Provence ainsi que tous les ports de plaisance qui pourront être rattachés à la Métropole Aix-Marseille-Provence. | not-allowed | no-eu-funds | Valeur technique : 
*Sous-critère 1 : pondération : 40 %
Intitulé : Pertinence et adéquation des moyens humains affectés aux différentes missions objet du marché 
*Sous-critère 2 : pondération : 60 %
Intitulé : Qualité de la méthodologie proposée pour répondre à une assistance à maîtrise d’ouvrage dans le domaine maritime | Construction et réhabilitation d’ouvrages | L'accord-cadre est passé pour un montant minimum de 50 000 euros HT et un montant maximum de 600 000 euros HT. | Lieu d'exécution des prestations : le périmètre d’intervention correspond à tous les ports de plaisance de la Métropole Aix-Marseille Provence ainsi que tous les ports de plaisance qui pourront être rattachés à la Métropole Aix-Marseille-Provence | performance | Valeur technique :
-Sous-critère 1 : pondération : 40 %
Intitulé : Pertinence et adéquation des moyens humains affectés aux différentes missions objet du marché 
-Sous-critère 2 : pondération : 60 %
Intitulé : Qualité de la méthodologie proposée pour répondre à une assistance à maîtrise d’ouvrage dans le domaine maritime | buyer-categories | Études et accompagnement pour le dimensionnement des fondations et socles de grues portuaires | L'accord-cadre est passé pour un montant minimum de 15 000 euros HT et un montant maximum  de 250 000 euros HT. | - Lieu d'exécution des prestations : le périmètre d’intervention correspond à tous les ports de plaisance de la Métropole Aix-Marseille Provence ainsi que tous les ports de plaisance qui pourront être rattachés à la Métropole Aix-Marseille-Provence.",nature APPEL_OFFRE | type SERVICES | CPV archi 71241000 | CPV archi 71248000 | CPV secondaire 71300000 | + fort: assistance a maitrise d ouvrage | + fort:  amo  | + moyen: rehabilitation | + moyen: etude | - moyen: accompagnement,26-25535
