source,publication_number,publication_date,title,buyer_name,country,cpv_code,cpv_uri,category,ted_url,raw_text
TED,984-2025,,"Bulgaria – Architectural, engineering and planning services – „Изготвяне на инвестиционен проект във фаза Работен проект и упражняване на авторски надзор по време на изпълнение на строителните и монтажни работи за обект: „Прилагане на мерки за повишаване на енергийната ефективност в Сграда за научна и проектантска дейност - Блок 21, собственост на БАН, находяща се в гр. София, ул. „Акад. Георги Бончев“, Научен комплекс на БАН - IV км.“",БЪЛГАРСКА АКАДЕМИЯ НА НАУКИТЕ,BGR,,,URBANISM_LANDSCAPE,https://ted.europa.eu/en/notice/-/detail/984-2025,"Изготвяне на инвестиционен проект във фаза Работен проект и упражняване на авторски надзор по време на изпълнение на строителните и монтажни работи за обект: „Прилагане на мерки за повишаване на енергийната ефективност в Сграда за научна и проектантска дейност - Блок 21, собственост на Българската академия на науките, находяща се в гр. София, ул. „Акад. Георги Бончев“, Научен комплекс на БАН - IV км. Данни за Сградата: Предназначение: Сграда за научна и проектантска дейност. Категория на строежа: Трета категория, съгласно чл. 137, ал. 1, т. 3, букви „в“ и „ж“ от Закона за устройство на територията (ЗУТ) и чл. 6, ал. 3, т. 4 от Наредба № 1/30.07.2003 г. за номенклатурата на видовете строежи ЗП: 1362 кв.м.  РЗП: 7438 кв.м по ЗУТ (8796 кв.м със сутерен). Височина: 19,15 м."
TED,94-2025,,"Lithuania – Architectural design services – Molainių filtracijos laukų ir šalia esančių teritorijų konversija, pritaikant daugiatiksliam naudojimui projekto konkursas",Panevėžio miesto savivaldybės administracija,LTU,,,ARCHITECTURE_BUILDING,https://ted.europa.eu/en/notice/-/detail/94-2025,"Projektuojama teritorija: Molainių filtracijos laukų teritorija, esanti Panevėžio mieste, kurią iš šiaurinės pusės riboja projektuojama V. Alanto gatvės trasa, iš rytinės Šermuto upelis, iš pietinės Molainių individualių namų gyvenamasis kvartalas."
TED,931-2025,,"Lithuania – Architectural design services – Gydymo paskirties pastato, Sveikatos g. 4, Paluknio k., Trakų raj. rekonstravimo projekto parengimas ir projekto vykdymo priežiūros paslaugos",Trakų rajono savivaldybės administracija,LTU,,,ARCHITECTURE_BUILDING,https://ted.europa.eu/en/notice/-/detail/931-2025,"Atsižvelgiant į projektavimo techninę užduotį (pridedama), parengti Gydymo paskirties pastato, Sveikatos g. 4, Paluknio k., Trakų raj. rekonstravimo projektą ir teikti projekto vykdymo priežiūros paslaugas. Parengti ir su Užsakovu suderinti ketinamų statyti statinių - Negyvenamojo pastato - gydymo paskirties pastato, susisiekimo komunikacijų kitos paskirties inžinerinių statinių – aikštelės ir t.t., inžinerinių tinklų projektinius pasiūlymus (toliau – projektiniai pasiūlymai) ir statybos techninį darbo projektą (toliau – Projektas). Projektiniai pasiūlymai turi būti parengti ir suderinti su Statytoju (Užsakovu), parengti projektiniai pasiūlymai turi būti viešinami teisės aktų nustatyta tvarka. Pirmo etapo užbaigimas - statybą leidžiančio dokumento gavimas pagal projektinius pasiūlymus. Prieš pradedant rengti projektinius pasiūlymus privalomai gauti specialiuosius reikalavimus ir prisijungimo sąlygas. Surinkti būtinus duomenis, reikalingus Statinio techniniam darbo projektui. Parengti, suderinti su Užsakovu bei jam perduoti Užsakovo planuojamo statyti Statinio pilnos sudėties Projektą. Organizuoti ir atlikti visus Sutartyje ir techninėje užduotyje numatytų darbų atlikimui reikalingus veiksmus; parengti topografinių tyrinėjimų ataskaitą su medžių taksacija; atlikti projektinius inžinerinius geologinius ir geotechninius tyrimus, gauti jų ataskaitą su tyrimų registravimo numeriu Žemės gelmių registre ir Lietuvos geologijos tarnybos rašto apie šios ataskaitos vertinimą ir priėmimą kopiją; gauti žemės valdytojų sutikimus (esant poreikiui); gavus bendrosios ekspertizės pastabas atsižvelgti ir taisyti sprendinius. Veikiant Užsakovo vardu paslaugų tiekėjas gauna statybą leidžiantį dokumentą ir visus kitus suderinimus, patvirtinimus ir leidimus, reikalingus Projekto tinkamam parengimui ir vėlesniam Statinio statybos vykdymui, pagal parengtą Projektą bei atlikti projekto vykdymo priežiūrą. Antro etapo užbaigimu laikomas teigiamas Projekto ekspertizės aktas."
TED,921-2025,,"France – Architectural, engineering and planning services – Mission de maitrise d'oeuvre pour une opération de travaux énergétiques sur le bâtiment du siège social de l'Urssaf Franche-Comté",URSSAF FRANCHE-COMTE,FRA,,,URBANISM_LANDSCAPE,https://ted.europa.eu/en/notice/-/detail/921-2025,Les travaux de réhabilitation et de mise en conformité par rapport au décret tertiaire seront réalisés sur site occupé au 3 rue Châtillon à Ecole Valentin
TED,890-2025,,"Finland – Architectural, engineering and planning services – Tutkimus- ja toimistotilojen suunnittelu- ja rakennuttamispalvelut",Teknologian tutkimuskeskus VTT OY,FIN,,,URBANISM_LANDSCAPE,https://ted.europa.eu/en/notice/-/detail/890-2025,"Pääsuunnittelu (RT 103254, PS18)"
TED,863-2025,,"Poland – Sewage, refuse, cleaning and environmental services – Budowa i eksploatacja oczyszczalni ścieków w Gminie Czernica",Gmina Czernica,POL,,,ARCHITECTURE_GENERAL,https://ted.europa.eu/en/notice/-/detail/863-2025,"1. Ogólny zakres przedmiotu zamówienia - Przedmiotem zamówienia jest realizacja przez Wykonawcę – Partnera Prywatnego we współpracy z Zamawiającym – Podmiotem Publicznym, Przedsięwzięcia polegającego na zapewnieniu przez Partnera Prywatnego usługi oczyszczania ścieków komunalnych w rozumieniu Ustawy o Zbiorowym Zaopatrzeniu w Wodę z terenu Gminy w Oczyszczalni, której Sfinansowanie, Budowę i Eksploatację zapewni Partner Prywatny na zasadach określonych w Umowie i Przepisach Prawa, w zamian za Wynagrodzenie. W celu realizacji przedsięwzięcia zadaniem Partnera Prywatnego będzie: a. Etap Budowy, rozumiany jako etap Przedsięwzięcia trwający od dnia zawarcia Umowy do dnia uzyskania przez Partnera Prywatnego Pozwolenia na Użytkowanie i Pozwolenia Wodnoprawnego, obejmujący: − Zaprojektowanie Oczyszczalni i uzyskanie Decyzji Środowiskowej oraz Pozwolenia na Budową, − wykonanie robót budowlanych, robót instalacyjnych i montażowych, zakup wyposażenia i technologii oraz zagospodarowanie terenu, − sfinansowanie robót budowlanych, robót instalacyjnych i montażowych, zakup wyposażenia i technologii oraz zagospodarowanie terenu, − przeprowadzenie Rozruchu, − uzyskanie Pozwolenia na Użytkowanie oraz wszelkich innych Decyzji Administracyjnych niezbędnych do zgodnego z przepisami prawa rozpoczęcia Eksploatacji Oczyszczalni. b. Etap Eksploatacji – etap przedsięwzięcia trwający od dnia następującego po dniu zakończenia Etapu Budowy do dnia zakończenia Umowy, obejmujący eksploatację i utrzymanie wybudowanej Oczyszczalni w tym szczególnie oczyszczanie przez Partnera Prywatnego Ścieków Komunalnych z terenu Gminy Czernica. 2. Zamawiający przewiduje możliwość udzielenia zamówień dodatkowych, o których mowa art. 455 ust. 1 pkt 3 ustawy PZP, przy czym zgodnie z wymogami ww. przepisu wzrost ceny spowodowany każdą kolejną zmianą nie może przekroczyć 50% wartości pierwotnej Umowy zawartej z Partnerem Prywatnym. 3. Szczegółowy opis przedmiotu zamówienia zawiera Program Funkcjonalno-Użytkowy stanowiący Załącznik nr 5 do Umowy oraz Standard Eksploatacji stanowiący Załącznik nr 6 do Umowy. 4. Zamawiający informuje, że zgodnie z art. 131 ust. 2 pkt 1 ustawy PZP wymaga przeprowadzenia przez Wykonawców wizji lokalnej. Szczegóły dotyczące wizji lokalnej znajdują się w rozdziale III SWZ. 5. W przypadku, gdy w dokumentacji technicznej zawarte jest odniesienie do norm, ocen technicznych, specyfikacji technicznych i systemów referencji technicznych, o których mowa w art. 101 ust. 1 pkt 2 oraz ust. 3 ustawy PZP, Zamawiający dopuszcza rozwiązania równoważne, czyli takie, które zagwarantują realizację przedmiotu zamówienia w zgodzie z opisem przedmiotu zamówienia oraz zapewnią uzyskanie parametrów technicznych nie gorszych od założonych w w/w dokumentach. W takich sytuacjach Wykonawca, przed zamiarem wbudowania takich materiałów lub zastosowania takich rozwiązań, jest zobowiązany zwrócić się do Zamawiającego na piśmie, w odpowiednim czasie, wraz z pełną dokumentacją celem przeprowadzenia weryfikacji przez Zamawiającego i uzyskania ich akceptacji na proponowane materiały lub rozwiązania. 6. Zamawiający nie przewiduje wymagań, o których mowa w art. 94 ustawy PZP. 7. Zamawiający, zgodnie z art. 7 ust. 3a ustawy PPP w zw. z art. 95 ust. 1 ustawy PZP, nie wymaga zatrudnienia przez Wykonawcę, podwykonawcę lub dalszego podwykonawcę osób wykonujących czynności w zakresie realizacji Przedsięwzięcia, na podstawie umowy o pracę (zgodnie z art. 22 § 1 ustawy z dnia 26 czerwca 1974 r. – Kodeks pracy (tekst jedn. Dz.U. z 2020 r. poz. 1320 ze zm.) . 8. Zamawiający nie przewiduje wymagań, o których mowa w art. 96 ust. 2 pkt 2 ustawy PZP. Szczegółowy opis zamówienia znajduje się w SWZ."
TED,855-2025,,"Poland – Project and design preparation, estimation of costs – „Opracowanie kompletnej dokumentacji projektowej z uzyskaniem decyzji administracyjnych oraz z pełnieniem nadzoru autorskiego dla przyłączenia do sieci przesyłowej Elektrowni w Świerżach Górnych (Kozienice)”","Operator Gazociągów Przesyłowych Gaz-System S.A., ul. Mszczonowska 4, 02-337 Warszawa, Operator Gazociągów Przesyłowych Gaz-System S.A., Oddział we Wrocławiu",POL,,,ARCHITECTURE_GENERAL,https://ted.europa.eu/en/notice/-/detail/855-2025,"1. Przedmiotem Zamówienia jest wykonanie dokumentacji projektowej dla zad.: Zabudowa śluz uniwersalnych DN300 w lok. Węzeł Ołtaszyn i ZZU Szewce oraz DN350 w lok. ZZU Aleksandrowice i Szewce wraz z infrastrukturą towarzyszącą. 2. Szczegółowy opis przedmiotu Zamówienia zawiera Załącznik nr 1 do SWZ – wzór umowy. 3. Numer kodu CPV przedmiotu Zamówienia: - 71242000 Przygotowanie przedsięwzięcia i projektu, oszacowanie kosztów - 71248000 Nadzór nad projektem i dokumentacją - 71320000 Usługi inżynieryjne w zakresie projektowania - 71247000 Nadzór nad robotami budowlanymi 4. Tam gdzie w treści Specyfikacji i Załączników do Specyfikacji znajduje się odniesienie do norm, ocen technicznych, specyfikacji technicznych i systemów referencji technicznych, o których mowa w art. 101 ust. 1 pkt 2 oraz ust. 3 Ustawy, Zamawiający dopuszcza rozwiązania równoważne opisywanym, a odniesieniu takiemu towarzyszą wyrazy „lub równoważny”. Wykonawca oferujący rozwiązania równoważne jest obowiązany udowodnić w ofercie na zasadach określonych w Formularzu „Oferta” (Załącznik nr 6 do SWZ), że proponowane rozwiązania w równoważnym stopniu spełniają wymagania określone w opisie przedmiotu Zamówienia. 5. Wykonawca zobowiązany jest do zapoznania się i stosowania zaleceń wynikających z Kodeksu Postępowania dla Dostawców Operatora Gazociągów Przesyłowych GAZ-SYSTEM S.A. (Kodeks Postępowania dla Dostawców Operatora Gazociągów Przesyłowych GAZ-SYSTEM S.A. jest dostępny na stronie internetowej Zamawiającego: http://www.gaz-system.pl/przetargi/kodeks-postepowania-dla-dostawcow/). 6. Wykonawca zobowiązany jest do zapoznania się i stosowania Regulaminu Platformy Zakupowej eB2B, dostępnego na stronie internetowej: https://gazsys-tem.eb2b.com.pl/cms/page/id/terms-and-conditions/. 7. Zamawiający dopuszcza możliwość dokonania wizji lokalnej przez Wykonawców, najpóźniej na 3 dni przed upływem terminu składania ofert. W takiej sytuacji Wykonawca zobowiązany jest, na co najmniej 5 dni przed zaproponowaną przez siebie datą przeprowadzenia wizji lokalnej, wystąpić przy użyciu środków komunikacji elektronicznej w rozumieniu ustawy z dnia 18 lipca 2002 r. o świadczeniu usług drogą elektroniczną (t.j. Dz. U. z 2020 r. poz. 344; dalej jako „ustawa o świadczeniu usług drogą elektroniczną”) do Zamawiającego z wnioskiem o ustalenie terminu (dnia i godziny) dokonania wizji lokalnej z zastrzeżeniem, że wizja lokalna może odbywać się od poniedziałku do piątku z wyłączeniem dni ustawowo wolnych od pracy, w godz. 9:00-14:00. 8. W dokumentacji projektowej nie mogą być wskazane znaki towarowe, patenty lub pochodzenie, źródła lub szczególny proces, który charakteryzuje produkty lub usługi dostarczane przez konkretnego wykonawcę, jeżeli mogłoby to doprowadzić do uprzywilejowania lub wyeliminowania niektórych wykonawców lub produktów, chyba że jest to uzasadnione specyfiką przedmiotu zamówienia i projektant nie może opisać przedmiotu zamówienia za pomocą dostatecznie dokładnych określeń, wówczas wskazaniu takiemu muszą towarzyszyć wyrazy „lub równoważny” oraz muszą zostać opisane warunki tej równoważności (podanie parametrów charakterystycznych wymaganych dla spełnienia równoważności). 9. Zamawiający jest upoważniony do skorzystania z prawa opcji w trakcie trwania Umowy, w zakresie opisanym we wzorze Umowy (Załącznik nr 1 do SWZ). Prawo opcji jest uprawnieniem Zamawiającego, z którego może, ale nie musi skorzystać w ramach realizacji Umowy. W przypadku nie skorzystania przez Zamawiającego z prawa opcji, Wykonawcy nie przysługują żadne roszczenia z tego tytułu. W zależności od swoich potrzeb Zamawiający będzie uprawniony do skorzystania na warunkach wskazanych we wzorze Umowy z prawa opcji polegającego na zleceniu Wykonawcy w okresie obowiązywania Umowy realizacji dodatkowych zleceń obejmujących pełnienie nadzoru autorskiego. Warunkiem uruchomienia prawa opcji jest złożenie przez Zamawiającego Wykonawcy wniosku zlecenia czynności dotyczących realizacji Zamówienia w ramach prawa opcji."
TED,794-2025,,"Romania – Cycle path construction work – Servicii de proiectare şi execuție lucrări la obiectivul de investiții „VELO APUSENI-amenajare trasee cicloturistice în munții Apuseni, pe zona județelor Bihor, Alba, Cluj – LOT JUDEȚUL ALBA”",UAT JUDETUL ALBA,ROU,,,URBANISM_LANDSCAPE,https://ted.europa.eu/en/notice/-/detail/794-2025,"Servicii de proiectare și execuție lucrări pentru investiţia - „VELO APUSENI-amenajare trasee cicloturistice în munții Apuseni, pe zona județelor Bihor, Alba, Cluj – LOT JUDEȚUL ALBA”, conform Caietului de sarcini și a documentelor anexate, care fac parte din documentatia de atribuire. Potrivit Caietului de sarcini, în cadrul contractului vor fi realizate următoarele activități: Faza I. Proiectare: Elaborarea documentațiilor tehnico-economice corespunzătoare etapelor III și IV definite prin Art. 1, alin. (2) din Hotărârea 907/2016 și asigurarea asistenței tehnice pe parcursul execuției lucrărilor. În acest sens se vor întocmi următoarele: - Documentaţia tehnică pentru obţinerea Autorizaţiei de Construire: DTAC + DTOE, - Documentațiile pentru obținerea avizelor și acordurilor solicitate prin Certificatul de urbanism, pentru acele avize/acorduri care nu au fost obținute la faza SF. - Proiectul tehnic de execuție – PT, Detalii de execuție – DE și Caiete de sarcini – CS. - Serviciile de verificare tehnică de calitate a proiectului tehnic şi a detaliilor de execuţie vor fi asigurate de către operatori economici sau persoane fizice autorizate, specialiști atestați conform HGR 925/1995, cu modificările și completările ulterioare, prin grija Proiectantului. Prin HG nr. 5/2024 privind modificarea anexei la HG nr. 925 din 20 noiembrie 1995 pentru aprobarea Regulamentului de verificare şi expertizare tehnică de calitate a proiectelor, a execuţiei lucrărilor şi a construcţiilor, alineatul 3 de la art. 6 din anexă se modifică și va avea următorul cuprins: “(3) În aplicarea prevederilor alin. (2), serviciile de verificare tehnică a proiectelor pot fi contractate de către investitor/proprietar/administrator, după caz, separat sau împreună cu serviciile de proiectare, cu respectarea dispoziţiilor art. 13 alin. (1) din Legea nr. 10/1995 privind calitatea în construcţii, republicată, cu modificările şi completările ulterioare.” Faza II. Asistența tehnică Serviciile de asistență tehnică se vor desfășura pe toată perioada de execuție a lucrărilor, cu participarea proiectantului la fazele incluse în programul de control al lucrărilor de execuție, avizat de către Inspectoratul de Stat în Construcții, precum și pe perioada de garanție a lucrărilor. Executia lucrărilor"
TED,792-2025,,France – Urban planning services – Elaboration d'un Plan local d'urbanisme intercommunal (PLUi),Communauté de Communes de Forez-Est,FRA,,,URBANISM_LANDSCAPE,https://ted.europa.eu/en/notice/-/detail/792-2025,Phase 1 réaliser le rapport de présentation Phase 2 réaliser le projet d'aménagement et développement durables (PADD) Phase 3 réaliser les orientations d'aménagement et de programmation (OAP) Phase 4 établir le plan de zonage et le règlement d'urbanisme Phase 5 établir les annexes Phase 6 finaliser le dossier pour l'arrêt Phase 7 accompagner la CC Forez-Est de l'arrêt du projet à l'approbation du PLUi définitif Phase 8 outils de suivi du PLUi
TED,783-2025,,"Italy – Architectural services for buildings – PROGETTAZ. FATTIB. TECNICO-ECONOMICA, PROGETTAZ. ESEC., COORD. SICUR. FASE DI PROGETTAZIONE, CON RISERVA DI AFFIDAMENTO DEI SERVIZI OPZIONALI DI DIREZ. LAV. E COORD. SICUR. FASE ESECUZ. NUOVA PALESTRA MEDIE DA VINCI (CUP F95E24000250005)",CENTRALE UNICA DI COMMITTENZA TRA I COMUNI DI CAVRIGLIA-SAN GIOVANNI VALDARNO-FIGLINE E INCISA VALDARNO,ITA,,,ARCHITECTURE_BUILDING,https://ted.europa.eu/en/notice/-/detail/783-2025,"PROCEDURA APERTA PER L’AFFIDAMENTO DEL SERVIZIO DI PROGETTAZIONE DI FATTIBILITA’ TECNICO-ECONOMICA, PROGETTAZIONE ESECUTIVA, COORDINAMENTO DELLA SICUREZZA IN FASE DI PROGETTAZIONE, CON RISERVA DI AFFIDAMENTO DEI SERVIZI OPZIONALI DI DIREZIONE DEI LAVORI E COORDINAMENTO DELLA SICUREZZA IN FASE DI ESECUZIONE PER LAVORI DI DEMOLIZIONE E RICOSTRUZIONE DEL FABBRICATO ADIBITO A PALESTRA DELLA SCUOLA SECONDARIA LEONARDO DA VINCI IN FIGLINE VALDARNO (CUP F95E24000250005)"
